date	usage
8/4/18	8.2 MB
8/5/18	2.5 MB
8/6/18	0.0 MB
8/6/18	0.5 MB
8/6/18	0.0 MB
8/6/18	0.0 MB
8/6/18	0.0 MB
8/6/18	6.2 MB
8/6/18	1.7 MB
8/7/18	2.1 MB
8/7/18	0.1 MB
8/7/18	1.2 MB
8/8/18	0.2 MB
8/8/18	0.6 MB
8/8/18	2.8 MB
8/8/18	12.4 MB
8/8/18	18.2 MB
8/9/18	0.0 MB
8/9/18	3.8 MB
8/10/18	0.3 MB
8/10/18	6.3 MB
8/11/18	6.4 MB
8/11/18	0.9 MB
8/11/18	46.9 MB
8/11/18	2.9 MB
8/11/18	0.7 MB
8/11/18	19.9 MB
8/12/18	0.8 MB
8/12/18	46.4 MB
8/13/18	0.4 MB
8/13/18	0.6 MB
8/13/18	0.2 MB
8/13/18	0.4 MB
8/13/18	0.2 MB
8/13/18	7.6 MB
8/14/18	0.7 MB
8/14/18	0.2 MB
8/14/18	0.1 MB
8/14/18	0.1 MB
8/14/18	0.0 MB
8/14/18	0.1 MB
8/14/18	0.1 MB
8/14/18	0.1 MB
8/14/18	0.0 MB
8/14/18	0.0 MB
8/14/18	14.0 MB
8/15/18	0.2 MB
8/15/18	0.8 MB
8/15/18	0.5 MB
8/15/18	0.0 MB
8/15/18	1.0 MB
8/15/18	0.1 MB
8/15/18	0.0 MB
8/15/18	1.5 MB
8/16/18	0.2 MB
8/16/18	5.9 MB
8/17/18	0.0 MB
8/17/18	9.3 MB
8/18/18	9.4 MB
8/19/18	0.0 MB
8/19/18	0.1 MB
8/19/18	0.0 MB
8/19/18	0.0 MB
8/19/18	0.1 MB
8/19/18	0.7 MB
8/19/18	5.7 MB
8/19/18	0.0 MB
8/19/18	284.4 MB
8/20/18	0.5 MB
8/20/18	0.0 MB
8/20/18	5.6 MB
8/21/18	0.1 MB
8/21/18	0.3 MB
8/21/18	0.0 MB
8/21/18	0.0 MB
8/21/18	3.2 MB
8/22/18	5.6 MB
8/23/18	0.1 MB
8/23/18	1.1 MB
8/24/18	0.0 MB
8/24/18	31.4 MB
8/24/18	0.0 MB
8/24/18	0.0 MB
8/24/18	2.5 MB
8/25/18	9.4 MB
8/26/18	26.2 MB
8/27/18	0.0 MB
8/27/18	0.0 MB
8/27/18	0.0 MB
8/27/18	0.0 MB
8/27/18	0.3 MB
8/27/18	0.2 MB
8/27/18	4.8 MB
8/28/18	4.2 MB
8/29/18	0.1 MB
8/29/18	0.0 MB
8/29/18	1.6 MB
8/29/18	1.9 MB
8/30/18	0.1 MB
8/30/18	0.0 MB
8/30/18	110.3 MB
8/31/18	46.0 MB
8/31/18	0.4 MB
8/31/18	0.1 MB
8/31/18	0.2 MB
8/31/18	0.0 MB
8/31/18	8.5 MB
9/1/18	51.7 MB
9/3/18	1.1 MB
9/3/18	0.9 MB
9/3/18	33.3 MB
9/3/18	0.1 MB
9/3/18	22.2 MB
