date	usage
7/4/18	12.6 MB
7/5/18	0.0 MB
7/5/18	0.3 MB
7/5/18	0.1 MB
7/5/18	2.4 MB
7/6/18	0.4 MB
7/6/18	0.0 MB
7/6/18	0.0 MB
7/6/18	0.0 MB
7/6/18	7.9 MB
7/8/18	1.8 MB
7/8/18	0.0 MB
7/8/18	0.3 MB
7/8/18	1.9 MB
7/9/18	0.0 MB
7/9/18	1.9 MB
7/9/18	0.3 MB
7/10/18	0.0 MB
7/10/18	0.0 MB
7/10/18	0.0 MB
7/10/18	0.1 MB
7/10/18	0.0 MB
7/10/18	0.3 MB
7/11/18	0.4 MB
7/11/18	2.9 MB
7/11/18	0.2 MB
7/11/18	0.1 MB
7/11/18	0.2 MB
7/11/18	0.4 MB
7/11/18	13.3 MB
7/12/18	0.1 MB
7/12/18	0.0 MB
7/12/18	12.5 MB
7/13/18	0.1 MB
7/13/18	0.1 MB
7/13/18	106.8 MB
7/14/18	1.4 MB
7/15/18	0.1 MB
7/15/18	0.1 MB
7/15/18	4.0 MB
7/16/18	0.5 MB
7/17/18	0.4 MB
7/17/18	10.2 MB
7/18/18	0.2 MB
7/18/18	0.0 MB
7/18/18	0.0 MB
7/18/18	0.1 MB
7/18/18	7.5 MB
7/19/18	0.1 MB
7/19/18	0.0 MB
7/19/18	4.8 MB
7/20/18	113.4 MB
7/22/18	86.2 MB
7/23/18	0.1 MB
7/23/18	0.4 MB
7/23/18	1.5 MB
7/23/18	0.4 MB
7/23/18	1.2 MB
7/24/18	0.2 MB
7/24/18	0.7 MB
7/24/18	11.3 MB
7/25/18	0.3 MB
7/25/18	0.7 MB
7/25/18	0.5 MB
7/25/18	0.4 MB
7/25/18	1.3 MB
7/25/18	0.0 MB
7/25/18	0.1 MB
7/26/18	0.2 MB
7/26/18	0.0 MB
7/26/18	7.0 MB
7/26/18	27.2 MB
7/29/18	5.7 MB
7/30/18	0.0 MB
7/30/18	0.3 MB
7/30/18	0.7 MB
7/30/18	0.0 MB
7/30/18	0.0 MB
7/30/18	1.2 MB
7/31/18	0.0 MB
7/31/18	0.1 MB
7/31/18	2.5 MB
8/1/18	0.1 MB
8/1/18	0.0 MB
8/1/18	0.0 MB
8/1/18	0.0 MB
8/1/18	0.1 MB
8/1/18	1.0 MB
8/2/18	0.0 MB
8/2/18	111.7 MB
8/3/18	0.0 MB
8/3/18	0.5 MB
8/3/18	0.0 MB
8/3/18	1.2 MB
