date	usage
9/4/18	2.0 MB
9/4/18	0.1 MB
9/4/18	7.7 MB
9/5/18	0.1 MB
9/5/18	0.0 MB
9/5/18	6.5 MB
9/6/18	0.1 MB
9/6/18	0.0 MB
9/6/18	54.1 MB
9/7/18	0.0 MB
9/7/18	0.3 MB
9/7/18	0.3 MB
9/7/18	19.8 MB
9/9/18	0.1 MB
9/9/18	0.0 MB
9/9/18	2.9 MB
9/9/18	0.0 MB
9/9/18	23.1 MB
9/10/18	46.3 MB
9/10/18	54.3 MB
9/11/18	0.0 MB
9/11/18	8.6 MB
9/13/18	0.0 MB
9/13/18	5.3 MB
9/13/18	152.0 MB
9/14/18	0.0 MB
9/14/18	0.0 MB
9/14/18	0.0 MB
9/14/18	0.1 MB
9/14/18	22.2 MB
9/15/18	80.0 MB
9/17/18	0.2 MB
9/17/18	0.2 MB
9/17/18	0.0 MB
9/17/18	0.2 MB
9/17/18	0.1 MB
9/17/18	0.4 MB
9/18/18	0.0 MB
9/18/18	0.1 MB
9/18/18	0.1 MB
9/18/18	72.7 MB
9/19/18	11.0 MB
9/20/18	0.1 MB
9/20/18	3.6 MB
9/21/18	6.5 MB
9/22/18	0.1 MB
9/22/18	0.1 MB
9/22/18	0.1 MB
9/22/18	0.1 MB
9/22/18	0.1 MB
9/22/18	1.8 MB
9/23/18	1.0 MB
9/23/18	0.2 MB
9/23/18	0.1 MB
9/23/18	0.6 MB
9/23/18	0.2 MB
9/23/18	10.6 MB
9/23/18	3.2 MB
9/25/18	2.2 MB
9/25/18	0.2 MB
9/25/18	0.1 MB
9/25/18	2.6 MB
9/26/18	0.1 MB
9/26/18	0.0 MB
9/26/18	0.1 MB
9/26/18	3.6 MB
9/27/18	0.0 MB
9/27/18	0.0 MB
9/27/18	0.0 MB
9/27/18	0.5 MB
9/27/18	0.1 MB
9/27/18	0.0 MB
9/27/18	0.1 MB
9/27/18	0.0 MB
9/27/18	3.6 MB
9/28/18	0.0 MB
9/28/18	22.6 MB
